demokratisid,mesh,demokratis_label,pubchem_cid,IUPACname
C3491843,http://purl.bioontology.org/ontology/MESH/C571746,EPI-743,https://pubchem.ncbi.nlm.nih.gov/compound/46184405,alpha-tocotrienol%20quinone
C3491843,http://purl.bioontology.org/ontology/MESH/C571746,EPI-743,https://pubchem.ncbi.nlm.nih.gov/compound/46184405,alpha-tocotrienol%20quinone
C0075632,http://purl.bioontology.org/ontology/MESH/D018170,Sumatriptan,https://pubchem.ncbi.nlm.nih.gov/compound/5358,Sumatriptan
C0033229,http://purl.bioontology.org/ontology/MESH/D011346,Prochlorperazine,https://pubchem.ncbi.nlm.nih.gov/compound/4917,Prochlorperazine
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0937898,http://purl.bioontology.org/ontology/MESH/C409045,Almotriptan malate,https://pubchem.ncbi.nlm.nih.gov/compound/123606,almotriptan
C0034272,http://purl.bioontology.org/ontology/MESH/D011736,pyridoxine,https://pubchem.ncbi.nlm.nih.gov/compound/1054,Pyridoxine
C0087163,http://purl.bioontology.org/ontology/MESH/D002331,Levocarnitine,https://pubchem.ncbi.nlm.nih.gov/compound/288,Carnitine
C2698220,http://purl.bioontology.org/ontology/MESH/C090092,migalastat,https://pubchem.ncbi.nlm.nih.gov/compound/176077,migalastat
C0209337,http://purl.bioontology.org/ontology/MESH/D000077123,Rocuronium,https://pubchem.ncbi.nlm.nih.gov/compound/441290,Rocuronium
C0905464,http://purl.bioontology.org/ontology/MESH/C077049,landiolol,https://pubchem.ncbi.nlm.nih.gov/compound/114905,landiolol
C2698220,http://purl.bioontology.org/ontology/MESH/C090092,migalastat,https://pubchem.ncbi.nlm.nih.gov/compound/176077,migalastat
C0048996,http://purl.bioontology.org/ontology/MESH/C055058,5-(3-hydroxybenzoyl)-2-thiophenesulfonamide,https://pubchem.ncbi.nlm.nih.gov/compound/163949,5-(3-hydroxybenzoyl)-2-thiophenesulfonamide
C0754188,http://purl.bioontology.org/ontology/MESH/C095108,Amprenavir,https://pubchem.ncbi.nlm.nih.gov/compound/65016,amprenavir
C0645102,http://purl.bioontology.org/ontology/MESH/C068170,oleyloxyethylphosphorylcholine,https://pubchem.ncbi.nlm.nih.gov/compound/5353846,oleyloxyethylphosphorylcholine
C0013030,http://purl.bioontology.org/ontology/MESH/D004298,Dopamine,https://pubchem.ncbi.nlm.nih.gov/compound/681,Dopamine
C0000379,http://purl.bioontology.org/ontology/MESH/D015104,"3,4-Methylenedioxyamphetamine",https://pubchem.ncbi.nlm.nih.gov/compound/1614,"3,4-Methylenedioxyamphetamine"
C0969677,http://purl.bioontology.org/ontology/MESH/D024502,alpha Tocopherol,https://pubchem.ncbi.nlm.nih.gov/compound/14985,alpha-Tocopherol
C0025219,http://purl.bioontology.org/ontology/MESH/D008550,Melatonin,https://pubchem.ncbi.nlm.nih.gov/compound/896,Melatonin
C0041536,http://purl.bioontology.org/ontology/MESH/D014451,Ubiquinone,https://pubchem.ncbi.nlm.nih.gov/compound/5281915,Ubiquinone
C0021547,http://purl.bioontology.org/ontology/MESH/D007294,Inositol,https://pubchem.ncbi.nlm.nih.gov/compound/892,Inositol
C0075246,http://purl.bioontology.org/ontology/MESH/C012043,stevioside,https://pubchem.ncbi.nlm.nih.gov/compound/442089,stevioside
C0003968,http://purl.bioontology.org/ontology/MESH/D001205,Ascorbic Acid,https://pubchem.ncbi.nlm.nih.gov/compound/54670067,Ascorbic%20Acid
C0087163,http://purl.bioontology.org/ontology/MESH/D002331,Levocarnitine,https://pubchem.ncbi.nlm.nih.gov/compound/288,Carnitine
C0008405,http://purl.bioontology.org/ontology/MESH/D002794,Choline,https://pubchem.ncbi.nlm.nih.gov/compound/305,Choline
C0028928,http://purl.bioontology.org/ontology/MESH/D019301,Oleic Acid,https://pubchem.ncbi.nlm.nih.gov/compound/445639,Oleic%20Acid
C0027302,http://purl.bioontology.org/ontology/MESH/D009248,Nadolol,https://pubchem.ncbi.nlm.nih.gov/compound/39147,Nadolol
C0526399,http://purl.bioontology.org/ontology/MESH/C060343,lercanidipine,https://pubchem.ncbi.nlm.nih.gov/compound/65866,lercanidipine
C0026196,http://purl.bioontology.org/ontology/MESH/D008914,Minoxidil,https://pubchem.ncbi.nlm.nih.gov/compound/4201,Minoxidil
C0002006,http://purl.bioontology.org/ontology/MESH/D000450,Aldosterone,https://pubchem.ncbi.nlm.nih.gov/compound/5839,Aldosterone
C0014479,http://purl.bioontology.org/ontology/MESH/D004809,Ephedrine,https://pubchem.ncbi.nlm.nih.gov/compound/9294,Ephedrine
C0061202,http://purl.bioontology.org/ontology/MESH/D019833,Genistein,https://pubchem.ncbi.nlm.nih.gov/compound/5280961,Genistein
C0027302,http://purl.bioontology.org/ontology/MESH/D009248,Nadolol,https://pubchem.ncbi.nlm.nih.gov/compound/39147,Nadolol
C0095278,http://purl.bioontology.org/ontology/MESH/C038131,epalrestat,https://pubchem.ncbi.nlm.nih.gov/compound/1549120,epalrestat
C0057753,http://purl.bioontology.org/ontology/MESH/C011442,diazonaphthalenedisulfonic acid,https://pubchem.ncbi.nlm.nih.gov/compound/193570,diazonaphthalenedisulfonic%20acid
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0173083,http://purl.bioontology.org/ontology/MESH/C077073,nitisinone,https://pubchem.ncbi.nlm.nih.gov/compound/115355,nitisinone
C0014479,http://purl.bioontology.org/ontology/MESH/D004809,Ephedrine,https://pubchem.ncbi.nlm.nih.gov/compound/9294,Ephedrine
C0034272,http://purl.bioontology.org/ontology/MESH/D011736,pyridoxine,https://pubchem.ncbi.nlm.nih.gov/compound/1054,Pyridoxine
C0905464,http://purl.bioontology.org/ontology/MESH/C077049,landiolol,https://pubchem.ncbi.nlm.nih.gov/compound/114905,landiolol
C0026818,http://purl.bioontology.org/ontology/MESH/D009118,Muscimol,https://pubchem.ncbi.nlm.nih.gov/compound/4266,Muscimol
C0025598,http://purl.bioontology.org/ontology/MESH/D008687,Metformin,https://pubchem.ncbi.nlm.nih.gov/compound/4091,Metformin
C0006230,http://purl.bioontology.org/ontology/MESH/D001971,Bromocriptine,https://pubchem.ncbi.nlm.nih.gov/compound/31101,Bromocriptine
C0299792,http://purl.bioontology.org/ontology/MESH/D000068180,aripiprazole,https://pubchem.ncbi.nlm.nih.gov/compound/60795,Aripiprazole
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0245561,http://purl.bioontology.org/ontology/MESH/D000068736,duloxetine,https://pubchem.ncbi.nlm.nih.gov/compound/60834,Duloxetine%20Hydrochloride
C0013030,http://purl.bioontology.org/ontology/MESH/D004298,Dopamine,https://pubchem.ncbi.nlm.nih.gov/compound/681,Dopamine
C0024742,http://purl.bioontology.org/ontology/MESH/D008358,Mannose,https://pubchem.ncbi.nlm.nih.gov/compound/18950,Mannose
C0245561,http://purl.bioontology.org/ontology/MESH/D000068736,duloxetine,https://pubchem.ncbi.nlm.nih.gov/compound/60834,Duloxetine%20Hydrochloride
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0001002,http://purl.bioontology.org/ontology/MESH/D000096,Acetone,https://pubchem.ncbi.nlm.nih.gov/compound/180,Acetone
C0070066,http://purl.bioontology.org/ontology/MESH/C003043,paraform,https://pubchem.ncbi.nlm.nih.gov/compound/712,paraform
C0017970,http://purl.bioontology.org/ontology/MESH/D006024,Glycopyrrolate,https://pubchem.ncbi.nlm.nih.gov/compound/11693,Glycopyrrolate
C2699758,http://purl.bioontology.org/ontology/MESH/C542859,aclidinium bromide,https://pubchem.ncbi.nlm.nih.gov/compound/11519741,aclidinium%20bromide
C0258259,http://purl.bioontology.org/ontology/MESH/C088936,GTS 21,https://pubchem.ncbi.nlm.nih.gov/compound/5310985,"3-(2,4-dimethoxybenzylidene)anabaseine"
C0257190,http://purl.bioontology.org/ontology/MESH/D000077550,ivabradine,https://pubchem.ncbi.nlm.nih.gov/compound/132999,Ivabradine
C0025598,http://purl.bioontology.org/ontology/MESH/D008687,Metformin,https://pubchem.ncbi.nlm.nih.gov/compound/4091,Metformin
C3661282,http://purl.bioontology.org/ontology/MESH/D000078784,vortioxetine,https://pubchem.ncbi.nlm.nih.gov/compound/9966051,Vortioxetine
C0142812,http://purl.bioontology.org/ontology/MESH/D020148,Sodium Butyrate,https://pubchem.ncbi.nlm.nih.gov/compound/264,Butyric%20Acid
C0095278,http://purl.bioontology.org/ontology/MESH/C038131,epalrestat,https://pubchem.ncbi.nlm.nih.gov/compound/1549120,epalrestat
C0064494,http://purl.bioontology.org/ontology/MESH/C062058,carboxyamido-triazole,https://pubchem.ncbi.nlm.nih.gov/compound/108144,carboxyamido-triazole
C0007299,http://purl.bioontology.org/ontology/MESH/D002354,Carteolol,https://pubchem.ncbi.nlm.nih.gov/compound/2583,Carteolol
C0245561,http://purl.bioontology.org/ontology/MESH/D000068736,duloxetine,https://pubchem.ncbi.nlm.nih.gov/compound/60834,Duloxetine%20Hydrochloride
C1174893,http://purl.bioontology.org/ontology/MESH/C472067,levocetirizine,https://pubchem.ncbi.nlm.nih.gov/compound/1549000,levocetirizine
C0085196,http://purl.bioontology.org/ontology/MESH/D016627,Oxidopamine,https://pubchem.ncbi.nlm.nih.gov/compound/4624,Oxidopamine
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0256089,http://purl.bioontology.org/ontology/MESH/C046650,quinagolide,https://pubchem.ncbi.nlm.nih.gov/compound/3086401,quinagolide
C0074710,http://purl.bioontology.org/ontology/MESH/D000077487,Pramipexole,https://pubchem.ncbi.nlm.nih.gov/compound/119570,Pramipexole
C0007805,http://purl.bioontology.org/ontology/MESH/D002554,Cerebrosides,https://pubchem.ncbi.nlm.nih.gov/compound/10056286,Cerebrosides
C0048996,http://purl.bioontology.org/ontology/MESH/C055058,5-(3-hydroxybenzoyl)-2-thiophenesulfonamide,https://pubchem.ncbi.nlm.nih.gov/compound/163949,5-(3-hydroxybenzoyl)-2-thiophenesulfonamide
C0061202,http://purl.bioontology.org/ontology/MESH/D019833,Genistein,https://pubchem.ncbi.nlm.nih.gov/compound/5280961,Genistein
C1723019,http://purl.bioontology.org/ontology/MESH/C511534,bepotastine besilate,https://pubchem.ncbi.nlm.nih.gov/compound/164521,bepotastine%20besilate
C1174893,http://purl.bioontology.org/ontology/MESH/C472067,levocetirizine,https://pubchem.ncbi.nlm.nih.gov/compound/1549000,levocetirizine
C0006230,http://purl.bioontology.org/ontology/MESH/D001971,Bromocriptine,https://pubchem.ncbi.nlm.nih.gov/compound/31101,Bromocriptine
C0051767,http://purl.bioontology.org/ontology/MESH/C025953,amsonic acid,https://pubchem.ncbi.nlm.nih.gov/compound/5284378,amsonic%20acid
C0006230,http://purl.bioontology.org/ontology/MESH/D001971,Bromocriptine,https://pubchem.ncbi.nlm.nih.gov/compound/31101,Bromocriptine
C0083701,http://purl.bioontology.org/ontology/MESH/C064357,naftopidil,https://pubchem.ncbi.nlm.nih.gov/compound/4418,naftopidil
C3179535,http://purl.bioontology.org/ontology/MESH/C551624,Suvorexant,https://pubchem.ncbi.nlm.nih.gov/compound/24965990,suvorexant
C1101148,http://purl.bioontology.org/ontology/MESH/C445659,bilastine,https://pubchem.ncbi.nlm.nih.gov/compound/185460,bilastine
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0073374,http://purl.bioontology.org/ontology/MESH/D000078262,rifaximin,https://pubchem.ncbi.nlm.nih.gov/compound/6436173,Rifaximin
C0050423,http://purl.bioontology.org/ontology/MESH/C030686,acetamide,https://pubchem.ncbi.nlm.nih.gov/compound/178,acetamide
C0025598,http://purl.bioontology.org/ontology/MESH/D008687,Metformin,https://pubchem.ncbi.nlm.nih.gov/compound/4091,Metformin
C0905464,http://purl.bioontology.org/ontology/MESH/C077049,landiolol,https://pubchem.ncbi.nlm.nih.gov/compound/114905,landiolol
C0905464,http://purl.bioontology.org/ontology/MESH/C077049,landiolol,https://pubchem.ncbi.nlm.nih.gov/compound/114905,landiolol
C0048996,http://purl.bioontology.org/ontology/MESH/C055058,5-(3-hydroxybenzoyl)-2-thiophenesulfonamide,https://pubchem.ncbi.nlm.nih.gov/compound/163949,5-(3-hydroxybenzoyl)-2-thiophenesulfonamide
C1101148,http://purl.bioontology.org/ontology/MESH/C445659,bilastine,https://pubchem.ncbi.nlm.nih.gov/compound/185460,bilastine
C0045283,http://purl.bioontology.org/ontology/MESH/C001803,tempol,https://pubchem.ncbi.nlm.nih.gov/compound/137994,tempol
C0771752,http://purl.bioontology.org/ontology/MESH/C093230,Fexofenadine hydrochloride,https://pubchem.ncbi.nlm.nih.gov/compound/3348,fexofenadine
C0905464,http://purl.bioontology.org/ontology/MESH/C077049,landiolol,https://pubchem.ncbi.nlm.nih.gov/compound/114905,landiolol
C0074676,http://purl.bioontology.org/ontology/MESH/C055267,tandospirone,https://pubchem.ncbi.nlm.nih.gov/compound/91273,tandospirone
C0771752,http://purl.bioontology.org/ontology/MESH/C093230,Fexofenadine hydrochloride,https://pubchem.ncbi.nlm.nih.gov/compound/3348,fexofenadine
C0012403,http://purl.bioontology.org/ontology/MESH/D004121,Dimethyl Sulfoxide,https://pubchem.ncbi.nlm.nih.gov/compound/679,Dimethyl%20Sulfoxide
C0257190,http://purl.bioontology.org/ontology/MESH/D000077550,ivabradine,https://pubchem.ncbi.nlm.nih.gov/compound/132999,Ivabradine
C0005372,http://purl.bioontology.org/ontology/MESH/D001640,Bicuculline,https://pubchem.ncbi.nlm.nih.gov/compound/10237,Bicuculline
C0042874,http://purl.bioontology.org/ontology/MESH/D014810,Vitamin E,https://pubchem.ncbi.nlm.nih.gov/compound/14985,Vitamin%20E
C0025219,http://purl.bioontology.org/ontology/MESH/D008550,Melatonin,https://pubchem.ncbi.nlm.nih.gov/compound/896,Melatonin
C0003968,http://purl.bioontology.org/ontology/MESH/D001205,Ascorbic Acid,https://pubchem.ncbi.nlm.nih.gov/compound/54670067,Ascorbic%20Acid
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0024742,http://purl.bioontology.org/ontology/MESH/D008358,Mannose,https://pubchem.ncbi.nlm.nih.gov/compound/18950,Mannose
C0257190,http://purl.bioontology.org/ontology/MESH/D000077550,ivabradine,https://pubchem.ncbi.nlm.nih.gov/compound/132999,Ivabradine
C0095278,http://purl.bioontology.org/ontology/MESH/C038131,epalrestat,https://pubchem.ncbi.nlm.nih.gov/compound/1549120,epalrestat
C1101148,http://purl.bioontology.org/ontology/MESH/C445659,bilastine,https://pubchem.ncbi.nlm.nih.gov/compound/185460,bilastine
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0037567,http://purl.bioontology.org/ontology/MESH/D014635,Sodium Valproate,https://pubchem.ncbi.nlm.nih.gov/compound/3121,Valproic%20Acid
C0034266,http://purl.bioontology.org/ontology/MESH/D011732,Pyridoxal Phosphate,https://pubchem.ncbi.nlm.nih.gov/compound/1051,Pyridoxal%20Phosphate
C0034266,http://purl.bioontology.org/ontology/MESH/D011732,Pyridoxal Phosphate,https://pubchem.ncbi.nlm.nih.gov/compound/1051,Pyridoxal%20Phosphate
C0087163,http://purl.bioontology.org/ontology/MESH/D002331,Levocarnitine,https://pubchem.ncbi.nlm.nih.gov/compound/288,Carnitine
C0024742,http://purl.bioontology.org/ontology/MESH/D008358,Mannose,https://pubchem.ncbi.nlm.nih.gov/compound/18950,Mannose
C0114217,http://purl.bioontology.org/ontology/MESH/C039602,diosmetin,https://pubchem.ncbi.nlm.nih.gov/compound/5281612,diosmetin
C0073633,http://purl.bioontology.org/ontology/MESH/D000069458,ranolazine,https://pubchem.ncbi.nlm.nih.gov/compound/56959,Ranolazine
C2698220,http://purl.bioontology.org/ontology/MESH/C090092,migalastat,https://pubchem.ncbi.nlm.nih.gov/compound/176077,migalastat
C0008405,http://purl.bioontology.org/ontology/MESH/D002794,Choline,https://pubchem.ncbi.nlm.nih.gov/compound/305,Choline
C0020316,http://purl.bioontology.org/ontology/MESH/D006879,Hydroxocobalamin,https://pubchem.ncbi.nlm.nih.gov/compound/44475014,Hydroxocobalamin
C0031430,http://purl.bioontology.org/ontology/MESH/D010637,Phenolsulfonphthalein,https://pubchem.ncbi.nlm.nih.gov/compound/4766,Phenolsulfonphthalein
C0055565,http://purl.bioontology.org/ontology/MESH/C007045,cholesteryl sulfate,https://pubchem.ncbi.nlm.nih.gov/compound/65076,cholesteryl%20sulfate
