radboudsource,sourceguid,sourcelabel,targettype
CHEMBL702,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL702,PIPERACILLIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL71752,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL71752,VINPOCETINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200878,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200878,TRIAMCINOLONE HEXACETONIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200878,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200878,TRIAMCINOLONE HEXACETONIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200878,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200878,TRIAMCINOLONE HEXACETONIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200878,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200878,TRIAMCINOLONE HEXACETONIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201173,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201173,MEDRYSONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201833,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201833,GOLIMUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL1518,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1518,PROPYLTHIOURACIL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1536,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1536,ERGOCALCIFEROL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1572,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1572,NETILMICIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1615438,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1615438,LEVOCABASTINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1983350,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1983350,STIRIPENTOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL832,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL832,SULFINPYRAZONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200640,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200640,FERROUS FUMARATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200640,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200640,FERROUS FUMARATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200969,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200969,DUTASTERIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1950576,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1950576,DIHYDROSTREPTOMYCIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2010507,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2010507,METHOXYPHENAMINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL354541,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL354541,LOMITAPIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL636,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL636,RIVASTIGMINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL788,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL788,IDOXURIDINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL88055,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL88055,RIMITEROL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1095607,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1095607,REPROTEROL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200668,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200668,CALCIUM CHLORIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201632,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201632,IMIGLUCERASE,http://rdf.ebi.ac.uk/terms/chembl#Enzyme
CHEMBL1201632,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201632,IMIGLUCERASE,http://rdf.ebi.ac.uk/terms/chembl#Enzyme
CHEMBL2108078,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2108078,PARATHYROID HORMONE,http://rdf.ebi.ac.uk/terms/chembl#ProteinMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL384467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL384467,DEXAMETHASONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL809,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL809,SERTRALINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1199324,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1199324,FOSAPREPITANT,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1199324,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1199324,FOSAPREPITANT,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1266,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1266,TETRAHYDROZOLINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1900528,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1900528,TIOTROPIUM,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1900528,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1900528,TIOTROPIUM,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL22108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL22108,DIMETHINDENE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL24,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL24,ATENOLOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL24778,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL24778,SILODOSIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200370,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200370,BENZOYL PEROXIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL134,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL134,CLONIDINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2364655,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2364655,EVOLOCUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL3989986,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3989986,RAVULIZUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL493,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL493,BROMOCRIPTINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL611,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL611,TERAZOSIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1043,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1043,DAPSONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200963,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200963,BIMATOPROST,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1200963,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200963,BIMATOPROST,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201265,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201265,METHYLPREDNISOLONE HEMISUCCINATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1364144,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1364144,METHYLPREDNISOLONE ACETATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL294199,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL294199,CAPSAICIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL294199,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL294199,CAPSAICIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL294199,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL294199,CAPSAICIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL3,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3,NICOTINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL423,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL423,BETAXOLOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL705,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL705,ALITRETINOIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1493,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1493,FLAVOXATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1508,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1508,ESCITALOPRAM,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1517,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1517,OXYTETRACYCLINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL218394,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL218394,BOCEPREVIR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201513,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201513,HEPARIN CALCIUM,http://rdf.ebi.ac.uk/terms/chembl#Oligosaccharide
CHEMBL1201828,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201828,ECULIZUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL198362,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL198362,RIVAROXABAN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL198362,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL198362,RIVAROXABAN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL3301594,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3301594,FOSTEMSAVIR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201064,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201064,FLUOROMETHOLONE ACETATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201064,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201064,FLUOROMETHOLONE ACETATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201064,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201064,FLUOROMETHOLONE ACETATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201724,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201724,POVIDONE-IODINE,http://rdf.ebi.ac.uk/terms/chembl#UnknownSubstance
CHEMBL1201863,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201863,DEXLANSOPRAZOLE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1384,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1384,KANAMYCIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1450,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1450,ATOVAQUONE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1743041,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743041,MOGAMULIZUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL1743041,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743041,MOGAMULIZUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL264241,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL264241,ANIDULAFUNGIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL31,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL31,GATIFLOXACIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL3989751,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3989751,NEOMYCIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL454446,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL454446,CEFDITOREN PIVOXIL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL454446,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL454446,CEFDITOREN PIVOXIL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL643,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL643,PROMETHAZINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL679,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL679,EPINEPHRINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL679,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL679,EPINEPHRINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL679,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL679,EPINEPHRINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL679,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL679,EPINEPHRINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL119423,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL119423,TISOPURINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1435,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1435,CEFAZOLIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2105689,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2105689,LULICONAZOLE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2105689,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2105689,LULICONAZOLE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL539697,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL539697,DABIGATRAN ETEXILATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL539697,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL539697,DABIGATRAN ETEXILATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201583,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201583,BEVACIZUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL1201583,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201583,BEVACIZUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL1742982,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1742982,AFLIBERCEPT,http://rdf.ebi.ac.uk/terms/chembl#ProteinMolecule
CHEMBL2105720,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2105720,LESINURAD,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
